po_number,role_name,onshore_or_offshore,normal_week_day,saturday,friday,ramadan_day,official_holidays
1535984,"Principal, Consultant and Manager (Critical Services, Remote/Onsite )",Onshore,3810,,,,
1535984,"Senior/Lead Service Engineer (Essential Services, Remote/Onsite)",Onshore,3240,,,,
1535984,"Service/Field Engineer [RTU & SCADA] (Standard Field Services, Onsite)",Onshore,2860,,,,
1535984,"Principal, Consultant and Manager (Critical Services, Remote/Onsite )",Offshore,5940,,,,
1535984,"Senior/Lead Service Engineer (Essential Services, Remote/Onsite)",Offshore,5052,,,,
1535984,"Service/Field Engineer [RTU & SCADA](Standard Field Services, Onsite)",Offshore,4464,,,,
